tower,time_UTC,LE_insitu,H_insitu,Rn_insitu,G_insitu
US-PFi,2019-02-13 17:00:00,,,,
US-PFi,2019-02-27 16:30:00,,,,
US-PFi,2019-02-28 15:30:00,,,,
US-PFi,2019-03-02 15:30:00,,,,
US-PFi,2019-05-31 22:30:00,,,,
US-PFi,2019-06-04 21:00:00,,,,
US-PFi,2019-06-07 20:00:00,,,,
US-PFi,2019-06-08 19:30:00,,,,
US-PFi,2019-06-15 17:00:00,,,,
US-PFi,2019-06-15 21:30:00,,,,
US-PFi,2019-06-19 15:00:00,,,,
US-PFi,2019-06-19 20:00:00,,,,
US-PFi,2019-07-04 14:00:00,,,,13.084
US-PFi,2019-07-05 13:00:00,,,,6.47
US-PFi,2019-07-29 23:00:00,339.202,,170.16,3.835
US-PFi,2019-08-02 21:30:00,345.094,137.709,433.232,20.621
US-PFi,2019-08-10 18:00:00,364.237,197.104,691.057,
US-PFi,2019-08-10 23:00:00,132.733,5.276,214.822,9.18
US-PFi,2019-08-14 21:00:00,254.963,109.595,497.112,5.82
US-PFi,2019-08-17 15:30:00,212.881,107.63,507.507,20.634
US-PFi,2019-08-17 20:30:00,,,,
US-PFi,2019-08-21 18:30:00,,,,
US-PFi,2019-09-01 14:30:00,59.508,55.262,242.581,1.151
US-PFi,2019-10-08 19:00:00,,,415.671,
US-PFi,,,,,
US-PFq,2019-02-13 17:00:00,,,,
US-PFq,2019-02-27 16:30:00,,,,
US-PFq,2019-02-28 15:30:00,,,,
US-PFq,2019-03-02 15:30:00,,,,
US-PFq,2019-05-31 22:30:00,,,,
US-PFq,2019-06-04 21:00:00,,,,
US-PFq,2019-06-07 20:00:00,,,,
US-PFq,2019-06-08 19:30:00,,,,
US-PFq,2019-06-15 17:00:00,,,,
US-PFq,2019-06-15 21:30:00,,,,
US-PFq,2019-06-19 15:00:00,,,,
US-PFq,2019-06-19 20:00:00,,,,
US-PFq,2019-07-04 14:00:00,102.251,83.23,349.257,22.305
US-PFq,2019-07-05 13:00:00,47.976,9.625,,14.655
US-PFq,2019-07-29 23:00:00,256.683,20.363,241.929,
US-PFq,2019-08-02 21:30:00,,,,
US-PFq,2019-08-10 18:00:00,,,,
US-PFq,2019-08-10 23:00:00,,,,
US-PFq,2019-08-14 21:00:00,,,,
US-PFq,2019-08-17 15:30:00,261.824,123.044,491.9,60.15
US-PFq,2019-08-17 20:30:00,242.011,73.182,520.852,
US-PFq,2019-08-21 18:30:00,506.674,,671.485,
US-PFq,2019-08-24 18:00:00,246.109,,698.98,52.716
US-PFq,2019-10-08 19:00:00,134.999,,451.317,
US-GLE,2019-02-02 21:30:00,,,,-1.270831388888889
US-GLE,2019-02-09 19:00:00,,,,-1.195132722222222
US-GLE,2019-02-12 18:00:00,,,,-1.2021206666666668
US-GLE,2019-02-15 17:00:00,,,,-1.2104862777777778
US-GLE,2019-02-16 16:00:00,,,,-1.2076399444444443
US-GLE,2019-02-16 22:30:00,,,,-1.2038733888888888
US-GLE,2019-02-17 21:30:00,,,,-1.1900416666666669
US-GLE,2019-02-20 20:30:00,,,,-1.1741917222222222
US-GLE,2019-02-20 20:30:00,,,,-1.1741917222222222
US-GLE,2019-02-23 20:00:00,,,,-1.1900161666666669
US-GLE,2019-02-27 18:00:00,,,,-1.1968806666666667
US-GLE,2019-02-27 18:00:00,,,,-1.1968806666666667
US-GLE,2019-03-02 17:00:00,,,,-1.1832937222222224
US-GLE,2019-05-30 23:30:00,,,,-0.9179495555555556
US-GLE,2019-06-15 16:30:00,,,,-0.7981360555555557
US-GLE,2019-06-18 16:00:00,,,,-1.1257175
US-GLE,2019-06-27 18:00:00,,,,
US-GLE,2019-07-04 15:30:00,,,,-1.0133448333333337
US-GLE,2019-07-07 14:30:00,,,,
US-GLE,2019-08-04 21:30:00,,,,
US-GLE,2019-08-13 23:30:00,,,,
US-GLE,2019-08-15 17:00:00,,,,
US-GLE,2019-08-19 15:30:00,,,,
US-GLE,2019-08-20 14:30:00,,,,
US-GLE,2019-08-25 18:30:00,,,,
US-GLE,2019-08-28 18:00:00,,,,
US-GLE,2019-09-01 16:00:00,,,,
US-GLE,2019-09-05 14:30:00,,,,
US-GLE,2019-10-03 21:30:00,,,,
US-GLE,2019-10-07 20:00:00,,,,
US-GLE,2019-10-15 16:30:00,,,,
US-GLE,2019-10-16 22:30:00,,,,
US-GLE,2019-10-31 16:30:00,,,,-3.2442636875
US-GLE,2019-12-07 19:30:00,,,,-1.636351722222222
US-GLE,2019-12-11 18:00:00,,,,-1.5702289444444444
US-GLE,2019-12-20 20:30:00,,,,-1.501082875
US-GLE,2019-12-23 19:30:00,,,,-1.4661512499999998
US-GLE,2019-12-24 19:00:00,,,,
US-GLE,2019-12-27 18:00:00,,,,-1.4088039444444442
US-GLE,2020-01-30 22:00:00,,,,-1.1654370555555555
US-GLE,2020-03-28 23:30:00,,,,-0.9225586111111111
US-GLE,2020-03-29 22:30:00,,,,-0.9197397222222222
US-GLE,2020-04-06 19:30:00,,,,-0.9059852222222222
US-PFd,2019-02-13 17:00:00,,,,
US-PFd,2019-02-16 16:00:00,,,,
US-PFd,2019-02-27 16:30:00,,,,
US-PFd,2019-02-28 15:30:00,,,,
US-PFd,2019-03-02 15:30:00,,,,
US-PFd,2019-05-31 22:30:00,,,,
US-PFd,2019-06-07 20:00:00,,,,
US-PFd,2019-06-08 19:30:00,,,,
US-PFd,2019-06-15 17:00:00,,,,
US-PFd,2019-06-15 21:30:00,,,,
US-PFd,2019-06-19 15:00:00,,,,
US-PFd,2019-06-19 20:00:00,,,,
US-PFd,2019-07-04 14:00:00,114.243,59.782,,4.294
US-PFd,2019-07-05 13:00:00,39.625,14.309,,
US-PFd,2019-07-29 23:00:00,133.938,26.583,270.738,16.935
US-PFd,2019-08-02 21:30:00,190.516,86.037,301.638,21.1
US-PFd,2019-08-10 23:00:00,150.002,45.708,239.337,15.87
US-PFd,2019-08-14 21:00:00,235.583,96.532,441.51,12.772
US-PFd,2019-08-17 15:30:00,162.287,106.684,402.455,-2.5
US-PFd,2019-08-17 20:30:00,,,517.08,15.495
US-PFd,2019-08-21 18:30:00,228.076,148.911,595.841,6.072
US-PFd,2019-10-08 19:00:00,144.0,77.249,,-5.347
US-PFd,,,,,
US-xAB,2019-06-17 18:30:00,103.801768529099,118.518591777755,241.53,0.3733333333333333
US-xAB,2019-07-29 01:30:00,104.053950925068,44.9004380820609,215.04,6.2620000000000005
US-xAB,2019-08-01 23:30:00,201.773870271912,142.333757806175,484.11,7.021666666666666
