,ID,vegetation,climate,STICinst,BESSinst,MOD16inst,PTJPLSMinst,ETinstUncertainty,PET,Rn,ESI,RH,Ta,LST,SM,time_utc,solar_time,solar_hour,local_time,LE,LE_filt,LEcorr25,LEcorr50,LEcorr75,LEcorr_ann,H_filt,NETRAD_filt,G_filt,SM_surf,SM_rz,AirTempC,RH_percentage,ESIrn_STIC,ESIrn_PTJPLSM,ESIrn_MOD16,ESIrn_BESS,ESIrn_Unc_ECO,ESIrn_LEcorr50
31,US-ONA,GRA,Cfa,311.8,254.34924,404.77676,137.94684,96.78777,333.67142,406.41483,0.41040826,0.6472469,29.462809,302.32,0.06678106,2020-04-13 14:00:00,2020-04-13 08:32:11.784,8.0,2020-04-13 09:00:00.000,125.255,125.255,166.96842736758072,179.2104056243552,195.26504903489572,168.05747627148213,126.756,301.444,2.48744875,0.0109,0.00845,28.398,0.792361,0.7671964135757546,0.33942373608758325,0.995969463023778,0.6258365129048071,0.2381501925015876,0.5945064609823224
32,US-ONA,GRA,Cfa,312.42545,259.47498,408.08032,138.90605,97.859184,337.3543,409.74142,0.41145024,0.6460557,29.575268,302.02,0.080941536,2020-04-13 14:00:00,2020-04-13 08:32:11.784,8.0,2020-04-13 09:00:00.000,125.255,125.255,166.96842736758072,179.2104056243552,195.26504903489572,168.05747627148213,126.756,301.444,2.48744875,0.0109,0.00845,28.398,0.792361,0.7624941847470534,0.3390090511230229,0.9959459797840305,0.6332651944243275,0.23883156357490049,0.5945064609823224
33,US-ONA,GRA,Cfa,5.795987,20.504904,22.256395,23.252655,7.442709,268.26743,385.41217,0.086521216,0.54235125,32.60513,306.62,0.11475019,2020-05-26 21:00:00,2020-05-26 15:32:11.784,15.0,2020-05-26 16:00:00.000,197.647,197.647,252.56355891790787,276.7772924928172,302.2039115848007,265.187465671068,114.46,526.893,30.5479,0.0768,0.0814,31.677,0.58873,0.015038411994099719,0.06033191686707765,0.057746995897924036,0.05320253379648079,0.019311037842940974,0.5253007583946213
34,US-ONA,GRA,Cfa,258.0396,5.1216097,21.567251,23.055012,102.497574,327.79858,464.18768,0.07034579,0.5150027,34.18844,307.02,0.12892401,2020-05-30 19:30:00,2020-05-30 14:02:11.784,14.0,2020-05-30 14:30:00.000,241.425,241.425,297.96506900430865,325.99015164165337,352.1840046392513,323.92540185096465,128.646,549.93,42.075,0.07,0.07,33.26,0.5002,0.5558949776521428,0.04966743624044482,0.046462351176575815,0.011033489083553444,0.22081062987281352,0.5927848119608922
35,US-ONA,GRA,Cfa,377.05408,75.211945,58.365726,54.869843,137.9029,383.69894,562.46515,0.14416225,0.6161875,30.595133,305.82,0.15322717,2020-06-11 14:30:00,2020-06-11 09:02:11.784,9.0,2020-06-11 09:30:00.000,218.513,218.513,274.88205907883514,291.9579541844921,313.1643373192693,293.183851443139,119.458,477.15,13.525,0.09,0.09,28.91,0.7006999999999999,0.670359896964283,0.09755243147064312,0.10376771965338653,0.1337184090427647,0.24517590112027382,0.6118787680697728
36,US-ONA,GRA,Cfa,256.25,216.12933,268.99448,95.66831,68.18185,212.2715,269.80978,0.45080832,0.7874384,25.356794,297.86,0.14518304,2020-06-15 13:00:00,2020-06-15 07:32:11.784,7.0,2020-06-15 08:00:00.000,93.8149,93.8149,118.19229604271334,128.09036424265798,136.7199386068193,125.87358054098812,85.5222,238.63,-2.825,0.06,0.06,25.79,0.8431000000000001,0.949743185736262,0.3545768800523095,0.9969782414855385,0.8010433498741225,0.25270340459860274,0.536773935559896
37,US-ONA,GRA,Cfa,74.881584,341.6152,681.1548,292.38373,233.60028,606.2754,685.8721,0.48226222,0.54402316,34.61888,304.94,0.16780004,2020-07-31 19:00:00,2020-07-31 13:32:11.784,13.0,2020-07-31 14:00:00.000,375.541,375.541,479.4665469570394,518.6524644857864,563.7840780045601,503.871882930571,168.376,622.59,38.2027,0.0594,0.0592,33.888,0.511974,0.10917718332616241,0.4262948296045283,0.9931221870666557,0.4980742036306769,0.34058868993213165,0.8330562079149783
38,US-ONA,GRA,Cfa,386.84747,12.468818,530.5959,183.83986,196.96216,453.10867,533.3959,0.4051415,0.60280824,32.36784,309.4,0.20184077,2020-08-08 16:00:00,2020-08-08 10:32:11.784,10.0,2020-08-08 11:00:00.000,283.114,283.114,352.77384580519544,380.3366655995642,424.17923340417946,379.860479319184,150.46,661.205,25.650505,0.0695,0.07075000000000001,31.579,0.8709439999999999,0.7252539248989353,0.34465930465532263,0.9947506158183819,0.023376291418812933,0.3692607311004828,0.5752174675018552
39,US-ONA,GRA,Cfa,275.3976,285.87607,376.5182,128.99106,89.30472,320.02017,377.43417,0.40163305,0.66899496,29.469294,300.88,0.19610524,2020-08-12 14:00:00,2020-08-12 08:32:11.784,8.0,2020-08-12 09:00:00.000,187.322,187.322,222.38686758117225,250.31428047200876,276.70538611830074,251.3341788361868,109.39,339.198,-1.3560725000000002,0.051399999999999994,0.051699999999999996,27.673,0.8538549999999999,0.7296573068622801,0.34175776930848634,0.9975731662027314,0.757419684603543,0.23661005573501734,0.7379591874716501
40,US-ONA,GRA,Cfa,289.65146,105.95169,396.86682,143.1635,115.98364,336.03976,397.77704,0.42610112,0.7503759,28.471703,299.64,0.15362987,2020-10-10 15:00:00,2020-10-10 09:32:11.784,9.0,2020-10-10 10:00:00.000,158.584,158.584,202.2017439153439,213.6436897248385,233.45317488965307,212.7757520022093,65.0273,331.395,6.738975,0.122353,0.11617649999999999,29.202,0.778995,0.7281754120348424,0.3599089077640077,0.9977117331860079,0.26635949123659824,0.29157952404693843,0.6446798826923718
